totalt_antal_fall,adm1_name,case_count,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,travel_ban_local,travel_ban_intl_in,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_swe_1,p_swe_2,p_swe_3,p_swe_4,p_swe_5,p_swe_6,country,fecha,cod_ine,ccaa,total,transit_suspension,home_isolation,travel_ban_intl,p_esp_1,p_esp_2,p_esp_3
83,Blekinge,0,2020-03-16,10,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,16mar2020,1,3,2020,16,Blekinge,0,0,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
119,Blekinge,1,2020-03-17,11,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,17mar2020,2,3,2020,17,Blekinge,0,1,0,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
145,Blekinge,1,2020-03-18,12,1,0,0,2,0,0,0,0,2,1,2,1,2,1,0,0,1,0,0,18mar2020,3,3,2020,18,Blekinge,0,1,0,0,NA,NA,1,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
143,Blekinge,0,2020-03-19,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,19mar2020,4,3,2020,19,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
180,Blekinge,0,2020-03-20,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,20mar2020,5,3,2020,20,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
134,Blekinge,0,2020-03-21,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,21mar2020,6,3,2020,21,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
118,Blekinge,0,2020-03-22,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,22mar2020,0,3,2020,22,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
182,Blekinge,0,2020-03-23,12,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,23mar2020,1,3,2020,23,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
230,Blekinge,0,2020-03-24,12,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,24mar2020,2,3,2020,24,Blekinge,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,Blekinge,3,2020-03-25,15,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,25mar2020,3,3,2020,25,Blekinge,0,3,1.098612,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
286,Blekinge,0,2020-03-26,15,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,26mar2020,4,3,2020,26,Blekinge,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
365,Blekinge,2,2020-03-27,17,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,27mar2020,5,3,2020,27,Blekinge,0,2,0.6931472,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
300,Blekinge,0,2020-03-28,17,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,28mar2020,6,3,2020,28,Blekinge,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
280,Blekinge,4,2020-03-29,21,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,29mar2020,0,3,2020,29,Blekinge,0,4,1.386294,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
416,Blekinge,0,2020-03-30,21,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,30mar2020,1,3,2020,30,Blekinge,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
475,Blekinge,1,2020-03-31,22,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,31mar2020,2,3,2020,31,Blekinge,0,1,0,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
486,Blekinge,5,2020-04-01,27,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,01apr2020,3,4,2020,1,Blekinge,0,5,1.609438,1.609438,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
554,Blekinge,3,2020-04-02,30,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,02apr2020,4,4,2020,2,Blekinge,0,3,1.098612,NA,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
601,Blekinge,1,2020-04-03,31,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,03apr2020,5,4,2020,3,Blekinge,0,1,0,NA,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
357,Blekinge,4,2020-04-04,35,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,04apr2020,6,4,2020,4,Blekinge,0,4,1.386294,1.386294,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
340,Blekinge,1,2020-04-05,36,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,05apr2020,0,4,2020,5,Blekinge,0,1,0,NA,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
389,Blekinge,0,2020-04-06,36,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,06apr2020,1,4,2020,6,Blekinge,0,0,NA,NA,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
30,Dalarna,0,2020-03-04,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,04mar2020,3,3,2020,4,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
25,Dalarna,0,2020-03-05,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,05mar2020,4,3,2020,5,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
59,Dalarna,0,2020-03-06,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,06mar2020,5,3,2020,6,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
33,Dalarna,0,2020-03-07,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,07mar2020,6,3,2020,7,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
46,Dalarna,0,2020-03-08,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,08mar2020,0,3,2020,8,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,Dalarna,0,2020-03-09,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,09mar2020,1,3,2020,9,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
98,Dalarna,0,2020-03-10,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,10mar2020,2,3,2020,10,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
196,Dalarna,1,2020-03-11,NA,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,11mar2020,3,3,2020,11,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
151,Dalarna,3,2020-03-12,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,12mar2020,4,3,2020,12,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
152,Dalarna,1,2020-03-13,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,13mar2020,5,3,2020,13,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
71,Dalarna,0,2020-03-14,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,14mar2020,6,3,2020,14,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
69,Dalarna,0,2020-03-15,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,15mar2020,0,3,2020,15,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
83,Dalarna,0,2020-03-16,NA,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,16mar2020,1,3,2020,16,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
119,Dalarna,3,2020-03-17,NA,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,17mar2020,2,3,2020,17,Dalarna,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
145,Dalarna,2,2020-03-18,10,1,0,0,2,0,0,0,0,2,1,2,1,2,1,0,0,1,0,0,18mar2020,3,3,2020,18,Dalarna,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
143,Dalarna,2,2020-03-19,12,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,19mar2020,4,3,2020,19,Dalarna,0,2,0.6931472,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
180,Dalarna,5,2020-03-20,17,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,20mar2020,5,3,2020,20,Dalarna,0,5,1.609438,0.9162908,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
134,Dalarna,0,2020-03-21,17,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,21mar2020,6,3,2020,21,Dalarna,0,0,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
118,Dalarna,5,2020-03-22,22,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,22mar2020,0,3,2020,22,Dalarna,0,5,1.609438,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
182,Dalarna,9,2020-03-23,31,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,23mar2020,1,3,2020,23,Dalarna,0,9,2.197225,0.5877867,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
230,Dalarna,9,2020-03-24,40,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,24mar2020,2,3,2020,24,Dalarna,0,9,2.197225,0,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,Dalarna,13,2020-03-25,53,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,25mar2020,3,3,2020,25,Dalarna,0,13,2.564949,0.3677247,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
286,Dalarna,8,2020-03-26,61,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,26mar2020,4,3,2020,26,Dalarna,0,8,2.079442,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
365,Dalarna,15,2020-03-27,76,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,27mar2020,5,3,2020,27,Dalarna,0,15,2.70805,0.6286087,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
300,Dalarna,6,2020-03-28,82,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,28mar2020,6,3,2020,28,Dalarna,0,6,1.791759,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
280,Dalarna,10,2020-03-29,92,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,29mar2020,0,3,2020,29,Dalarna,0,10,2.302585,0.5108256,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
416,Dalarna,9,2020-03-30,101,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,30mar2020,1,3,2020,30,Dalarna,0,9,2.197225,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
475,Dalarna,23,2020-03-31,124,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,31mar2020,2,3,2020,31,Dalarna,0,23,3.135494,0.9382696,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
486,Dalarna,19,2020-04-01,143,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,01apr2020,3,4,2020,1,Dalarna,0,19,2.944439,NA,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
554,Dalarna,6,2020-04-02,149,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,02apr2020,4,4,2020,2,Dalarna,0,6,1.791759,NA,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
601,Dalarna,20,2020-04-03,169,1,1,1,3,0,0,0,3,2,1,2,1,1,1,1,1,1,0,1,03apr2020,5,4,2020,3,Dalarna,0,20,2.995732,1.203973,NA,NA,1,1,1,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
357,Dalarna,18,2020-04-04,187,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,04apr2020,6,4,2020,4,Dalarna,0,18,2.890372,NA,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
340,Dalarna,7,2020-04-05,194,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,05apr2020,0,4,2020,5,Dalarna,0,7,1.94591,NA,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
389,Dalarna,16,2020-04-06,210,1,1,1,3,0,0,1,3,2,1,2,1,1,1,1,1,1,1,1,06apr2020,1,4,2020,6,Dalarna,0,16,2.772589,0.8266786,NA,NA,1,1,1,1,1,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
30,Gotland,0,2020-03-04,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,04mar2020,3,3,2020,4,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
25,Gotland,0,2020-03-05,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,05mar2020,4,3,2020,5,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
59,Gotland,0,2020-03-06,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,06mar2020,5,3,2020,6,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
33,Gotland,0,2020-03-07,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,07mar2020,6,3,2020,7,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
46,Gotland,0,2020-03-08,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,08mar2020,0,3,2020,8,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,Gotland,0,2020-03-09,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,09mar2020,1,3,2020,9,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
98,Gotland,0,2020-03-10,NA,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,10mar2020,2,3,2020,10,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
196,Gotland,2,2020-03-11,NA,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,11mar2020,3,3,2020,11,Gotland,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
151,Gotland,0,2020-03-12,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,12mar2020,4,3,2020,12,Gotland,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
152,Gotland,0,2020-03-13,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,13mar2020,5,3,2020,13,Gotland,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
71,Gotland,0,2020-03-14,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,14mar2020,6,3,2020,14,Gotland,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
69,Gotland,0,2020-03-15,NA,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0,1,0,0,15mar2020,0,3,2020,15,Gotland,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
83,Gotland,0,2020-03-16,NA,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,16mar2020,1,3,2020,16,Gotland,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
119,Gotland,1,2020-03-17,NA,0,0,0,2,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,17mar2020,2,3,2020,17,Gotland,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
145,Gotland,1,2020-03-18,NA,1,0,0,2,0,0,0,0,2,1,2,1,2,1,0,0,1,0,0,18mar2020,3,3,2020,18,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,0,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
143,Gotland,1,2020-03-19,NA,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,19mar2020,4,3,2020,19,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
180,Gotland,0,2020-03-20,NA,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,20mar2020,5,3,2020,20,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
134,Gotland,0,2020-03-21,NA,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,21mar2020,6,3,2020,21,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
118,Gotland,0,2020-03-22,NA,1,0,0,2,0,0,0,3,2,1,2,1,2,1,0,0,1,0,1,22mar2020,0,3,2020,22,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
182,Gotland,0,2020-03-23,NA,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,23mar2020,1,3,2020,23,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
230,Gotland,0,2020-03-24,NA,1,0,0,2,0,0,0,3,2,1,2,1,1,1,0,0,1,0,1,24mar2020,2,3,2020,24,Gotland,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
314,Gotland,1,2020-03-25,NA,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,25mar2020,3,3,2020,25,Gotland,0,NA,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
286,Gotland,4,2020-03-26,10,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,26mar2020,4,3,2020,26,Gotland,0,NA,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
365,Gotland,1,2020-03-27,11,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,27mar2020,5,3,2020,27,Gotland,0,1,0,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
300,Gotland,0,2020-03-28,11,1,1,0,2,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,28mar2020,6,3,2020,28,Gotland,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
280,Gotland,0,2020-03-29,11,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,29mar2020,0,3,2020,29,Gotland,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
416,Gotland,0,2020-03-30,11,1,1,0,3,0,0,0,3,2,1,2,1,1,1,1,0,1,0,1,30mar2020,1,3,2020,30,Gotland,0,0,NA,NA,NA,NA,1,1,0,1,0,1,SWE,NA,NA,NA,NA,NA,NA,NA,0,0,0
